#1;
# Stochastic profiles for vehicle car location, created with the LoadProfileGenerator https://github.com/loadprofilegenerator/LoadProfileGenerator
# 0: driving, 1: home, 2: shopping, 3: event location, 4: school, 5: work
#ID	IN03_37_20	IN03_110_30	IN05_220_25	IN05_110_10	IN20_110_15	IN20_220_25	IN21_110_5	IN21_220_20
double default(105120,9);

0	1	1	1	1	1	1	1	1
300	1	1	1	1	1	1	1	1
600	1	1	1	1	1	1	1	1
900	1	1	1	1	1	1	1	1
1200	1	1	1	1	1	1	1	1
1500	1	1	1	1	1	1	1	1
1800	1	1	1	1	1	1	1	1
2100	1	1	1	1	1	1	1	1
2400	1	1	1	1	1	1	1	1
2700	1	1	1	1	1	1	1	1
3000	1	1	1	1	1	1	1	1
3300	1	1	1	1	1	1	1	1
3600	1	1	1	1	1	1	1	1
3900	1	1	1	1	1	1	1	1
4200	1	1	1	1	1	1	1	1
4500	1	1	1	1	1	1	1	1
4800	1	1	1	1	1	1	1	1
5100	1	1	1	1	1	1	1	1
5400	1	1	1	1	1	1	1	1
5700	1	1	1	1	1	1	1	1
6000	1	1	1	1	1	1	1	1
6300	1	1	1	1	1	1	1	1
6600	1	1	1	1	1	1	1	1
6900	1	1	1	1	1	1	1	1
7200	1	1	1	1	1	1	1	1
7500	1	1	1	1	1	1	1	1
7800	1	1	1	1	1	1	1	1
8100	1	1	1	1	1	1	1	1
8400	1	1	1	1	1	1	1	1
8700	1	1	1	1	1	1	1	1
9000	1	1	1	1	1	1	1	1
9300	1	1	1	1	1	1	1	1
9600	1	1	1	1	1	1	1	1
9900	1	1	1	1	1	1	1	1
10200	1	1	1	1	1	1	1	1
10500	1	1	1	1	1	1	1	1
10800	1	1	1	1	1	1	1	1
11100	1	1	1	1	1	1	1	1
11400	1	1	1	1	1	1	1	1
11700	1	1	1	1	1	1	1	1
12000	1	1	1	1	1	1	1	1
12300	1	1	1	1	1	1	1	1
12600	1	1	1	1	1	1	1	1
12900	1	1	1	1	1	1	1	1
13200	1	1	1	1	1	1	1	1
13500	1	1	1	1	1	1	1	1
13800	1	1	1	1	1	1	1	1
14100	1	1	1	1	1	1	1	1
14400	1	1	1	1	1	1	1	1
14700	1	1	1	1	1	1	1	0
15000	1	1	1	1	1	1	1	0
15300	1	1	1	1	1	1	1	0
15600	1	1	1	1	1	1	1	0
15900	1	1	1	1	1	1	0	0
16200	1	1	1	1	1	1	0	5
16500	1	1	1	1	1	1	5	5
16800	1	1	1	1	1	1	5	5
17100	1	1	1	1	1	1	5	5
17400	1	1	1	1	1	1	5	5
17700	1	1	1	1	1	1	5	5
18000	1	1	1	1	1	1	5	5
18300	1	1	1	1	1	1	5	5
18600	1	1	1	1	1	1	5	5
18900	1	1	1	1	1	1	5	5
19200	1	1	1	1	1	1	5	5
19500	1	1	1	1	1	1	5	5
19800	1	1	1	1	1	1	5	5
20100	1	1	1	1	1	1	5	5
20400	1	1	1	1	1	1	5	5
20700	1	1	1	1	1	1	5	5
21000	1	1	1	1	1	1	5	5
21300	1	1	1	1	1	1	5	5
21600	1	1	1	1	1	1	5	5
21900	1	1	1	1	1	1	5	5
22200	1	1	1	1	1	1	5	5
22500	1	1	1	1	1	1	5	5
22800	1	1	1	1	1	1	5	5
23100	1	1	1	1	1	1	5	5
23400	1	1	1	1	1	1	5	5
23700	1	1	1	1	1	1	5	5
24000	1	1	1	1	1	1	5	5
24300	1	1	1	1	1	1	5	5
24600	1	1	1	1	1	1	5	5
24900	1	1	1	1	1	1	5	5
25200	1	1	1	1	1	1	5	5
25500	1	1	1	1	1	1	5	5
25800	1	1	1	1	1	1	5	5
26100	1	1	1	1	1	1	5	5
26400	1	1	1	1	1	1	5	5
26700	1	1	1	1	1	1	5	5
27000	1	1	1	1	1	1	5	5
27300	1	1	1	1	1	1	5	5
27600	1	1	1	1	1	1	5	5
27900	1	1	1	1	1	1	5	5
28200	1	1	1	1	1	1	5	5
28500	1	1	1	1	1	1	5	5
28800	1	1	1	1	1	1	5	5
29100	1	1	1	1	1	1	5	5
29400	1	1	1	1	1	1	5	5
29700	1	1	1	1	1	1	5	5
30000	1	1	1	1	1	1	5	5
30300	1	1	1	1	1	1	5	5
30600	1	1	1	1	1	1	5	5
30900	1	1	1	1	1	1	5	5
31200	1	1	1	1	1	1	5	5
31500	1	1	1	1	1	1	5	5
31800	1	1	1	1	1	1	5	5
32100	1	1	1	1	1	1	5	5
32400	1	1	1	1	1	1	5	5
32700	1	1	1	1	1	1	5	5
33000	1	1	1	0	1	1	5	5
33300	1	1	1	0	1	1	5	5
33600	1	1	1	0	1	1	5	5
33900	1	1	1	2	1	1	5	5
34200	1	1	1	2	1	1	5	5
34500	1	1	1	2	1	1	5	5
34800	1	1	1	2	1	1	5	5
35100	1	1	1	2	1	1	5	5
35400	1	1	1	2	1	1	5	5
35700	1	1	1	2	1	1	5	5
36000	1	1	1	2	1	1	5	5
36300	0	1	1	2	1	1	5	5
36600	0	1	1	2	1	1	5	5
36900	0	1	1	2	1	1	5	5
37200	3	1	1	2	1	1	5	5
37500	3	1	1	2	1	1	5	5
37800	3	1	1	2	1	1	5	5
38100	3	1	1	2	1	1	5	5
38400	3	1	1	2	1	1	5	5
38700	3	1	1	2	1	1	5	5
39000	3	1	1	2	1	1	5	5
39300	3	1	1	2	1	1	5	5
39600	3	1	1	2	1	1	5	5
39900	3	1	1	2	1	0	5	5
40200	3	1	1	2	1	0	5	5
40500	3	1	1	2	0	2	5	5
40800	3	1	1	2	0	2	5	5
41100	3	1	1	2	0	2	5	5
41400	3	1	1	0	2	2	5	5
41700	3	1	1	0	2	2	5	5
42000	3	1	1	0	2	2	5	5
42300	3	1	1	1	2	2	5	5
42600	3	1	1	1	2	2	5	5
42900	3	1	1	1	2	2	5	5
43200	3	1	1	1	2	2	5	5
43500	3	1	1	1	2	2	5	5
43800	3	1	1	1	2	2	5	5
44100	3	1	1	1	2	2	5	5
44400	3	1	1	1	2	2	5	5
44700	3	1	1	1	2	2	5	5
45000	3	1	1	1	2	2	5	5
45300	3	1	1	1	2	2	5	5
45600	3	1	1	1	2	2	5	5
45900	3	1	1	1	2	2	5	5
46200	0	1	1	1	2	2	5	5
46500	0	1	1	1	2	2	5	5
46800	0	1	1	1	2	2	5	5
47100	1	1	1	1	2	2	5	5
47400	1	1	1	1	2	0	5	5
47700	1	1	1	1	2	0	5	5
48000	1	1	1	1	2	0	5	0
48300	1	1	1	1	2	1	5	0
48600	1	1	1	1	2	1	0	0
48900	1	1	1	1	2	1	0	0
49200	1	1	1	1	2	1	1	0
49500	1	1	1	1	2	0	1	1
49800	1	1	1	1	2	0	1	1
50100	1	1	1	1	0	0	1	1
50400	1	1	1	1	0	3	1	1
50700	1	1	1	1	0	3	1	1
51000	1	1	1	1	1	3	1	1
51300	1	1	1	1	1	3	1	1
51600	1	1	1	1	1	3	1	1
51900	1	1	1	1	1	3	1	1
52200	1	1	1	1	1	3	1	1
52500	1	1	1	1	1	3	1	1
52800	1	1	1	1	1	3	1	1
53100	1	1	1	1	1	3	1	1
53400	1	1	1	1	1	3	1	1
53700	1	1	1	1	1	3	1	1
54000	1	1	1	1	1	3	1	1
54300	1	1	1	1	1	3	1	1
54600	1	1	1	1	1	3	1	1
54900	1	1	1	1	1	3	0	1
55200	1	1	1	1	1	3	0	1
55500	1	1	1	1	1	3	0	1
55800	1	1	1	1	1	3	2	1
56100	1	1	1	1	1	3	2	1
56400	1	1	1	1	1	3	2	1
56700	1	1	1	1	1	3	2	1
57000	1	1	1	1	1	3	2	1
57300	1	1	1	1	1	3	2	1
57600	1	1	1	1	1	3	2	1
57900	1	1	1	1	1	3	2	1
58200	1	1	1	0	1	3	2	1
58500	1	1	0	0	0	3	2	1
58800	1	1	0	0	0	3	2	1
59100	1	1	0	0	0	3	2	1
59400	1	1	3	0	2	3	2	1
59700	1	1	3	0	2	3	2	1
60000	1	1	3	0	2	3	2	1
60300	1	1	3	0	2	3	2	1
60600	1	1	3	0	2	3	2	1
60900	1	1	3	0	2	3	2	1
61200	1	1	3	3	2	3	2	1
61500	1	0	3	3	2	3	2	1
61800	1	0	3	3	2	3	2	1
62100	1	0	3	3	2	3	0	1
62400	1	0	3	3	2	0	0	1
62700	1	0	3	3	2	0	0	1
63000	1	0	3	3	2	0	1	1
63300	1	0	3	3	2	1	1	1
63600	1	0	3	3	2	1	1	1
63900	1	0	3	3	2	1	1	1
64200	1	0	3	3	2	1	1	1
64500	1	3	3	3	2	1	1	1
64800	1	3	3	3	2	1	1	1
65100	1	3	3	3	2	1	1	1
65400	1	3	3	3	2	1	1	1
65700	1	3	3	3	2	1	1	1
66000	1	3	3	3	2	1	1	1
66300	1	3	3	3	2	1	1	1
66600	1	3	0	3	2	1	1	1
66900	1	3	0	3	2	1	1	1
67200	1	3	0	3	0	1	1	1
67500	1	3	1	3	0	1	1	1
67800	1	3	1	3	1	1	1	1
68100	1	3	0	3	1	1	1	1
68400	1	3	0	3	1	1	1	1
68700	1	3	0	3	1	1	1	1
69000	1	3	3	3	1	1	1	1
69300	1	3	3	3	1	1	1	1
69600	1	3	3	3	1	1	1	1
69900	1	3	3	3	1	1	1	1
70200	1	3	3	3	1	1	1	1
70500	1	3	3	3	1	1	1	1
70800	1	3	3	3	1	1	1	1
71100	1	3	3	3	1	1	1	1
71400	1	3	3	3	1	1	1	1
71700	0	3	3	3	1	1	1	1
72000	0	3	3	3	1	1	1	1
72300	0	3	3	3	1	1	1	1
72600	3	3	3	3	1	1	1	1
72900	3	3	3	3	1	1	1	1
73200	3	3	3	3	1	1	1	1
73500	3	3	3	3	1	1	1	1
73800	3	3	3	3	1	1	1	1
74100	3	3	3	3	1	1	1	1
74400	3	3	3	3	1	1	1	1
74700	3	3	3	3	1	1	1	1
75000	3	3	3	3	1	1	1	1
75300	3	3	3	3	1	1	1	1
75600	3	3	3	3	1	1	1	1
75900	3	3	3	0	1	1	1	1
76200	3	3	3	0	1	1	1	1
76500	3	3	3	0	1	1	1	1
76800	3	3	3	0	1	1	1	1
77100	3	3	3	0	1	1	1	1
77400	3	3	0	0	1	1	1	1
77700	3	3	0	0	1	1	1	1
78000	3	3	0	0	1	1	1	1
78300	3	3	1	0	1	1	1	1
78600	3	3	1	0	1	1	1	1
78900	3	0	1	1	1	1	1	1
79200	3	0	1	1	1	1	1	1
79500	3	0	1	1	1	1	1	1
79800	3	0	1	1	1	1	1	1
80100	3	0	1	1	1	1	1	1
80400	3	0	1	1	1	1	1	1
80700	3	0	1	1	1	1	1	1
81000	0	0	1	1	1	1	1	1
81300	0	0	1	1	1	1	1	1
81600	0	0	1	1	1	1	1	1
81900	1	1	1	1	1	1	1	1
82200	1	1	1	1	1	1	1	1
82500	1	1	1	1	1	1	1	1
82800	1	1	1	1	1	1	1	1
83100	1	1	1	1	1	1	1	1
83400	1	1	1	1	1	1	1	1
83700	1	1	1	1	1	1	1	1
84000	1	1	1	1	1	1	1	1
84300	1	1	1	1	1	1	1	1
84600	1	1	1	1	1	1	1	1
84900	1	1	1	1	1	1	1	1
85200	1	1	1	1	1	1	1	1
85500	1	1	1	1	1	1	1	1
85800	1	1	1	1	1	1	1	1
86100	1	1	1	1	1	1	1	1
86400	1	1	1	1	1	1	1	1
86700	1	1	1	1	1	1	1	1
87000	1	1	1	1	1	1	1	1
87300	1	1	1	1	1	1	1	1
87600	1	1	1	1	1	1	1	1
87900	1	1	1	1	1	1	1	1
88200	1	1	1	1	1	1	1	1
88500	1	1	1	1	1	1	1	1
88800	1	1	1	1	1	1	1	1
89100	1	1	1	1	1	1	1	1
89400	1	1	1	1	1	1	1	1
89700	1	1	1	1	1	1	1	1
90000	1	1	1	1	1	1	1	1
90300	1	1	1	1	1	1	1	1
90600	1	1	1	1	1	1	1	1
90900	1	1	1	1	1	1	1	1
91200	1	1	1	1	1	1	1	1
91500	1	1	1	1	1	1	1	1
91800	1	1	1	1	1	1	1	1
92100	1	1	1	1	1	1	1	1
92400	1	1	1	1	1	1	1	1
92700	1	1	1	1	1	1	1	1
93000	1	1	1	1	1	1	1	1
93300	1	1	1	1	1	1	1	1
93600	1	1	1	1	1	1	1	1
93900	1	1	1	1	1	1	1	1
94200	1	1	1	1	1	1	1	1
94500	1	1	1	1	1	1	1	1
94800	1	1	1	1	1	1	1	1
95100	1	1	1	1	1	1	1	1
95400	1	1	1	1	1	1	1	1
95700	1	1	1	1	1	1	1	1
96000	1	1	1	1	1	1	1	1
96300	1	1	1	1	1	1	1	1
96600	1	1	1	1	1	1	1	1
96900	1	1	1	1	1	1	1	1
97200	1	1	1	1	1	1	1	1
97500	1	1	1	1	1	1	1	1
97800	1	1	1	1	1	1	1	1
98100	1	1	1	1	1	1	1	1
98400	1	1	1	1	1	1	1	1
98700	1	1	1	1	1	1	1	1
99000	1	1	1	1	1	1	1	1
99300	1	1	1	1	1	1	1	1
99600	1	1	1	1	1	1	1	1
99900	1	1	1	1	1	1	1	1
100200	1	1	1	1	1	1	1	1
100500	1	1	1	1	1	1	1	1
100800	1	1	1	1	1	1	1	1
101100	1	1	1	1	1	1	1	1
101400	1	1	1	1	1	1	1	1
101700	1	1	1	1	1	1	1	0
102000	1	1	1	1	1	1	1	0
102300	1	1	1	1	1	1	0	0
102600	1	1	1	1	1	1	0	0
102900	1	1	1	1	1	1	5	0
103200	1	1	1	1	1	1	5	5
103500	1	1	1	1	1	1	5	5
103800	1	1	1	1	1	1	5	5
104100	1	1	1	1	1	1	5	5
104400	1	1	1	1	1	1	5	5
104700	1	1	1	1	1	1	5	5
105000	1	1	1	1	1	1	5	5
105300	1	0	1	1	1	1	5	5
105600	1	0	1	1	1	1	5	5
105900	1	0	1	1	1	1	5	5
106200	1	0	1	1	1	1	5	5
106500	1	0	1	1	1	1	5	5
106800	1	0	0	1	1	1	5	5
107100	1	0	0	1	1	1	5	5
107400	1	5	0	1	1	1	5	5
107700	1	5	0	1	1	1	5	5
108000	1	5	0	1	1	1	5	5
108300	1	5	0	1	1	1	5	5
108600	1	5	5	1	1	1	5	5
108900	1	5	5	1	1	1	5	5
109200	1	5	5	1	1	1	5	5
109500	1	5	5	1	1	1	5	5
109800	1	5	5	1	1	1	5	5
110100	1	5	5	1	1	1	5	5
110400	1	5	5	1	1	1	5	5
110700	1	5	5	1	1	0	5	5
111000	1	5	5	1	1	0	5	5
111300	1	5	5	1	1	4	5	5
111600	1	5	5	1	1	4	5	5
111900	1	5	5	1	1	4	5	5
112200	1	5	5	1	1	4	5	5
112500	1	5	5	1	1	4	5	5
112800	1	5	5	1	1	4	5	5
113100	1	5	5	0	1	4	5	5
113400	1	5	5	0	1	4	5	5
113700	1	5	5	0	1	4	5	5
114000	1	5	5	5	1	4	5	5
114300	0	5	5	5	1	4	5	5
114600	0	5	5	5	1	4	5	5
114900	2	5	5	5	1	4	5	5
115200	2	5	5	5	1	4	5	5
115500	2	5	5	5	1	4	5	5
115800	2	5	5	5	1	4	5	5
116100	2	5	5	5	1	4	5	5
116400	2	5	5	5	1	4	5	5
116700	2	5	5	5	1	4	5	5
117000	2	5	5	5	1	4	5	5
117300	2	5	5	5	1	4	5	5
117600	2	5	5	5	1	4	5	5
117900	2	5	5	5	1	4	5	5
118200	2	5	5	5	1	4	5	5
118500	2	5	5	5	1	4	5	5
118800	2	5	5	5	1	4	5	5
119100	2	5	5	5	1	4	5	5
119400	2	5	5	5	1	4	5	5
119700	2	5	5	5	1	4	5	5
120000	2	5	5	5	1	4	5	5
120300	2	5	5	5	1	4	5	5
120600	2	5	5	5	1	4	5	5
120900	2	5	5	5	1	4	5	5
121200	2	5	5	5	1	4	5	5
121500	2	5	5	5	1	4	5	5
121800	2	5	5	5	1	4	5	5
122100	2	5	5	5	1	4	5	5
122400	2	5	5	5	1	4	5	5
122700	2	5	5	5	1	4	5	5
123000	2	5	5	5	1	4	5	5
123300	2	5	5	5	1	4	5	5
123600	2	5	5	5	1	4	5	5
123900	0	5	5	5	1	4	5	5
124200	0	5	5	5	1	4	5	5
124500	0	5	5	5	1	4	5	5
124800	0	5	5	5	1	4	5	5
125100	0	5	5	5	1	4	5	5
125400	5	5	5	5	1	4	5	5
125700	5	5	5	5	1	4	5	5
126000	5	5	5	5	1	4	5	5
126300	5	5	5	5	1	4	5	5
126600	5	5	5	5	1	4	5	5
126900	5	5	5	5	1	4	5	5
127200	5	5	5	5	1	4	5	5
127500	5	5	5	5	1	4	5	5
127800	5	5	5	5	1	4	5	5
128100	5	5	5	5	1	4	5	5
128400	5	5	5	5	1	4	5	5
128700	5	5	5	5	1	4	5	5
129000	5	5	5	5	1	4	5	5
129300	5	5	5	5	1	4	5	5
129600	5	5	5	5	1	4	5	5
129900	5	5	5	5	1	4	5	5
130200	5	5	5	5	1	4	5	5
130500	5	5	5	5	1	4	5	5
130800	5	5	5	5	1	4	5	5
